tanggal,level_harga,provinsi,komoditas,harga_rupiah,harga_bulan_berikutnya,perubahan_harga_1_bulan_pct,target_perubahan_harga_1_bulan_pct,n_raw_rows,unique_price_count,min_price,max_price,flag_change_abs_100pct,flag_target_abs_100pct,flag_change_mad,flag_target_mad,flag_source_conflict
2023-11-01,konsumen,D.I Yogyakarta,Gula Pasir Lokal/Curah,16780.0,16953.0,9.5944092482529,1.030989272943983,1,1,16780.0,16780.0,False,False,True,False,False
2023-10-01,konsumen,Papua Barat,Beras Premium,18673.0,18864.0,12.204062011777438,1.0228672414716478,1,1,18673.0,18673.0,False,False,True,False,False
2022-04-01,konsumen,Sumatera Selatan,Daging Sapi Murni,139457.0,138032.0,5.895529754808537,-1.02182034605649,1,1,139457.0,139457.0,False,False,True,False,False
2024-11-01,konsumen,Papua Pegunungan,Beras Medium,19778.0,19980.0,9.877777777777785,1.0213368389119237,1,1,19778.0,19778.0,False,False,True,False,False
2024-02-01,konsumen,Banten,Beras Medium,14515.0,14367.0,11.174938725490202,-1.0196348604891492,1,1,14515.0,14515.0,False,False,True,False,False
2022-05-01,konsumen,Kalimantan Tengah,Daging Sapi Murni,148698.0,150204.0,4.805469410769669,1.0127910261066075,1,1,148698.0,148698.0,False,False,True,False,False
2025-03-01,konsumen,Papua Barat,Tepung Terigu Curah,13473.0,13608.0,5.298944900351699,1.002004008016022,1,1,13473.0,13473.0,False,False,True,False,False
2025-02-01,konsumen,Papua Barat Daya,Kedelai Biji Kering,13925.0,14063.0,12.45255592344343,0.9910233393177759,1,1,13925.0,13925.0,False,False,True,False,False
2024-05-01,konsumen,DKI Jakarta,Gula Pasir Lokal/Curah,18505.0,18688.0,6.3322415675458155,0.9889219129964877,1,1,18505.0,18505.0,False,False,True,False,False
2023-11-01,produsen,Sulawesi Selatan,GKG Tk. Penggilingan,7605.0,7679.0,21.718950064020493,0.97304404996712,1,1,7605.0,7605.0,False,False,True,False,False
2023-11-01,produsen,Jambi,Beras Premium Tingkat Penggilingan,13411.0,13541.0,12.744850777637673,0.9693535157706323,1,1,13411.0,13411.0,False,False,True,False,False
2024-04-01,konsumen,Papua Barat,Tepung Terigu Kemasan,16190.0,16035.0,-4.483775811209445,-0.957381099444099,1,1,16190.0,16190.0,False,False,True,False,False
2024-07-01,produsen,Sulawesi Tenggara,Beras Premium Tingkat Penggilingan,12448.0,12567.0,9.86760812003531,0.9559768637532162,1,1,12448.0,12448.0,False,False,True,False,False
2024-01-01,produsen,Sumatera Barat,Sapi Hidup (Tingkat Peternak/RPH),55891.0,55360.0,13.151128656746636,-0.9500635164874538,1,1,55891.0,55891.0,False,False,True,False,False
2024-09-01,konsumen,Maluku Utara,Minyak Goreng Curah,17667.0,17500.0,-22.625147812376824,-0.9452651836757808,1,1,17667.0,17667.0,False,False,True,False,False
2023-04-01,produsen,Nusa Tenggara Timur,Sapi Hidup (Tingkat Peternak/RPH),53317.0,52815.0,-5.61525252704066,-0.9415383461184978,1,1,53317.0,53317.0,False,False,True,False,False
2022-05-01,konsumen,Kalimantan Selatan,Daging Sapi Murni,141467.0,140158.0,3.922043958627164,-0.9253041345331448,1,1,141467.0,141467.0,False,False,True,False,False
2025-01-01,konsumen,Kepulauan Bangka Belitung,Minyak Goreng Kemasan,19705.0,19887.0,12.432956749971469,0.9236234458259274,1,1,19705.0,19705.0,False,False,True,False,False
2024-04-01,produsen,Nusa Tenggara Barat,Beras Premium Tingkat Penggilingan,12847.0,12729.0,-9.953038480409337,-0.9185023740951204,1,1,12847.0,12847.0,False,False,True,False,False
2024-04-01,produsen,Jawa Timur,GKP Tk. Petani,5582.0,5633.0,-16.723854990302844,0.9136510211393833,1,1,5582.0,5582.0,False,False,True,False,False
2023-10-01,konsumen,Nusa Tenggara Timur,Beras Medium,13815.0,13940.0,8.378441986349738,0.9048136083966707,1,1,13815.0,13815.0,False,False,True,False,False
2023-11-01,produsen,Banten,GKP Tk. Petani,6599.0,6540.0,20.706054508871418,-0.894074859827243,1,1,6599.0,6599.0,False,False,True,False,False
2023-10-01,konsumen,Gorontalo,Beras Premium,14550.0,14420.0,6.961699625082707,-0.8934707903780037,1,1,14550.0,14550.0,False,False,True,False,False
2022-08-01,konsumen,Kepulauan Bangka Belitung,Minyak Goreng Kemasan,14587.0,14457.0,-13.043219076005963,-0.891204497154996,1,1,14587.0,14587.0,False,False,True,False,False
2023-03-01,konsumen,Sulawesi Tenggara,Beras Premium,13363.0,13482.0,7.4023468895676015,0.890518596123635,1,1,13363.0,13363.0,False,False,True,False,False
2025-04-01,konsumen,Bali,Tepung Terigu Curah,9803.0,9716.0,-5.993479094744913,-0.8874834234418039,1,1,9803.0,9803.0,False,False,True,False,False
2024-05-01,konsumen,Sulawesi Tenggara,Beras Premium,14676.0,14546.0,-8.349466058827204,-0.8857999454892296,1,1,14676.0,14676.0,False,False,True,False,False
2024-04-01,konsumen,Papua Pegunungan,Daging Sapi Murni,161571.0,160145.0,5.095031807360573,-0.8825841271020152,1,1,161571.0,161571.0,False,False,True,False,False
2024-05-01,konsumen,D.I Yogyakarta,Tepung Terigu Curah,8960.0,8881.0,-6.010699674813802,-0.8816964285714324,1,1,8960.0,8960.0,False,False,True,False,False
2023-05-01,konsumen,Lampung,Kedelai Biji Kering,12248.0,12354.0,-12.188127330083166,0.8654474199869311,1,1,12248.0,12248.0,False,False,True,False,False
2024-02-01,konsumen,Jawa Barat,Beras Premium,16092.0,16231.0,11.479043990301353,0.8637832463335826,1,1,16092.0,16092.0,False,False,True,False,False
2022-04-01,konsumen,Kepulauan Riau,Daging Sapi Murni,149044.0,150328.0,5.389543352519399,0.8614905665440986,1,1,149044.0,149044.0,False,False,True,False,False
2024-10-01,konsumen,Papua Barat,Kedelai Biji Kering,11125.0,11220.0,-13.739629371171592,0.8539325842696677,1,1,11125.0,11125.0,False,False,True,False,False
2022-10-01,konsumen,Sumatera Barat,Beras Medium,13410.0,13522.0,7.2285303054533845,0.8351976137211059,1,1,13410.0,13410.0,False,False,True,False,False
2025-01-01,produsen,Lampung,Cabai Rawit Merah Tingkat Petani,58406.0,57922.0,138.80121023795894,-0.8286819847275972,1,1,58406.0,58406.0,True,False,False,False,False
2023-02-01,konsumen,Riau,Beras Premium,13551.0,13662.0,-5.745287612158312,0.819127739650205,1,1,13551.0,13551.0,False,False,True,False,False
2024-02-01,konsumen,Jawa Tengah,Beras Medium,14763.0,14643.0,10.766806722689083,-0.8128429181060715,1,1,14763.0,14763.0,False,False,True,False,False
2024-11-01,konsumen,Papua Barat Daya,Ikan Bandeng,52643.0,53067.0,-12.201671141947001,0.8054252227266634,1,1,52643.0,52643.0,False,False,True,False,False
2023-04-01,konsumen,Papua Barat,Beras Premium,16296.0,16168.0,6.642235455794787,-0.7854688267059373,1,1,16296.0,16296.0,False,False,True,False,False
